0x700000 kSramChecksum
0x700008 kSramChecksumInverted
0x701fe0 str_madadameyohn
0x701fec sram_save_slot_selected
0x701fee sram_save_slot_selected_complement
0x701ff0 kSramChecksumUpper
0x701ff8 kSramChecksumInvertedUpper
0x7e0000 R0_
0x7e0003 R3_
0x7e0006 R6_
0x7e0008 R8_
0x7e000a R10_
0x7e000c R12_
0x7e000e R14_
0x7e0010 R16_
0x7e0012 R18_
0x7e0014 R20_
0x7e0016 R22_
0x7e0018 R24_
0x7e001a R26_
0x7e001c R28_
0x7e0020 R32
0x7e0022 R34
0x7e0024 R36
0x7e0026 R38
0x7e0028 R40
0x7e002a R42
0x7e002c R44
0x7e002e R46
0x7e0030 R48
0x7e0032 R50
0x7e0034 bg3_tilemap_offset
0x7e0036 copywithflip_src
0x7e003b nmicopy1_var_a
0x7e003c nmicopy1_var_d
0x7e0044 decompress_dst_tmp
0x7e0047 decompress_src
0x7e004a decompress_last_byte
0x7e004b decompress_tmp1
0x7e004c decompress_dst
0x7e004f decompress_want_xor
0x7e0051 reg_INIDISP
0x7e0052 reg_OBSEL
0x7e0053 reg_OAMaddr_UNUSED
0x7e0055 reg_BGMODE
0x7e0056 reg_BGMODE_fake
0x7e0057 reg_MOSAIC
0x7e0058 reg_BG1SC
0x7e0059 reg_BG2SC
0x7e005a reg_BG3SC
0x7e005b gameplay_BG3SC
0x7e005c reg_BG4SC
0x7e005d reg_BG12NBA
0x7e005e reg_BG34NBA
0x7e005f reg_M7SEL
0x7e0060 reg_W12SEL
0x7e0061 reg_W34SEL
0x7e0062 reg_WOBJSEL
0x7e0063 reg_WH0
0x7e0064 reg_WH1
0x7e0065 reg_WH2
0x7e0066 reg_WH3
0x7e0067 reg_WBGLOG
0x7e0068 reg_WOBJLOG
0x7e0069 reg_TM
0x7e006a gameplay_TM
0x7e006b reg_TS
0x7e006c reg_TMW
0x7e006d reg_TSW
0x7e006e next_gameplay_CGWSEL
0x7e006f reg_CGWSEL
0x7e0070 gameplay_CGWSEL
0x7e0071 next_gameplay_CGADSUB
0x7e0072 reg_CGADSUB
0x7e0073 gameplay_CGADSUB
0x7e0074 reg_COLDATA
0x7e0077 reg_SETINI
0x7e0078 reg_M7A
0x7e007a reg_M7B
0x7e007c reg_M7C
0x7e007e reg_M7D
0x7e0080 reg_M7X
0x7e0082 reg_M7Y
0x7e0084 reg_NMITIMEN
0x7e0085 reg_HDMAEN
0x7e0086 reg_MEMSEL
0x7e0087 joypad_ctr_repeat_first
0x7e0089 joypad_ctr_repeat_next
0x7e008b joypad1_lastkeys
0x7e008d joypad2_last
0x7e008f joypad1_newkeys
0x7e0091 joypad2_new_keys
0x7e0093 joypad1_newkeys2_UNUSED
0x7e0095 joypad2_newkeys2
0x7e0097 joypad1_prev
0x7e0099 joypad2_prev
0x7e00a3 joypad1_keyrepeat_ctr
0x7e00a5 joypad2_keyrepeat_ctr
0x7e00a7 irqhandler_next_handler
0x7e00a9 room_loading_irq_handler
0x7e00ab cur_irq_handler
0x7e00ad ptr_to_retaddr_parameters
0x7e00af current_region_animated_palette_fx
0x7e00b1 reg_BG1HOFS
0x7e00b3 reg_BG1VOFS
